,date,count,department_name,year,month,day_of_week,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
25744,2020-01-23,8,Noblesville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
38307,2020-01-23,165,St Lucie County Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
7813,2020-01-23,4,Cicero Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
15663,2020-01-23,18,Fishers Fire and Emergency Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
21323,2020-01-23,74,Loudoun County Fire Rescue and EMS,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
16347,2020-01-23,55,Golder Ranch Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
37951,2020-01-23,15,St Louis Park Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
17043,2020-01-23,68,Hall County Fire Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
31956,2020-01-23,120,Richmond Fire and Emergency Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
10146,2020-01-23,154,City of Saint Paul Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
6775,2020-01-23,28,Carmel Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
33284,2020-01-23,14,Rogers Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
15015,2020-01-23,2,Fairmount Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
35175,2020-01-23,1,Sheridan Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
32484,2020-01-23,5,Rincon Valley Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
355,2020-01-23,24,Adams County Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
25052,2020-01-23,79,Newport News Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
37261,2020-01-23,5,Southern Platte Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
26433,2020-01-23,50,Northwest Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
22970,2020-01-23,228,Mesa Fire and Medical Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
7192,2020-01-23,43,Cedar Rapids Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
42466,2020-01-23,594,Washington DC Fire & EMS Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
3659,2020-01-23,21,Beavercreek Township Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
27044,2020-01-23,26,Olathe Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
9461,2020-01-23,48,City of Roseville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
41102,2020-01-23,27,Town of Manchester Fire-Rescue-EMS Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
2998,2020-01-23,39,Asheville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
44048,2020-01-23,65,West Palm Beach Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
33978,2020-01-23,293,Sacramento Metropolitan Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
6097,2020-01-23,76,Cape Coral Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
27741,2020-01-23,113,Ontario Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
28723,2020-01-23,182,Orlando Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
40660,2020-01-23,22,Torrington Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
2430,2020-01-23,247,Anne Arundel County Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
13122,2020-01-23,20,Delaware Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
1737,2020-01-23,48,Alexandria Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
34668,2020-01-23,444,San Francisco Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
30574,2020-01-23,16,Plainfield Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
41797,2020-01-23,273,Tucson Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
29736,2020-01-23,83,Pasco Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
43357,2020-01-23,131,West Metro Fire Rescue,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
40018,2020-01-23,1,Toms River Fire District 1,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
11472,2020-01-23,596,Columbus Division of Fire,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
13740,2020-01-23,39,Delray Beach Fire-Rescue Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
10654,2020-01-23,5,City of Westfield Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
22279,2020-01-23,417,Memphis Division of Fire Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
1738,2020-01-24,78,Alexandria Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
12149,2020-01-24,32,Coral Gables Fire and Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
34669,2020-01-24,404,San Francisco Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
10147,2020-01-24,135,City of Saint Paul Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
24357,2020-01-24,28,New Rochelle Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
15016,2020-01-24,2,Fairmount Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
10655,2020-01-24,9,City of Westfield Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
15664,2020-01-24,13,Fishers Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
16348,2020-01-24,62,Golder Ranch Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
29737,2020-01-24,82,Pasco Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
9462,2020-01-24,43,City of Roseville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
18422,2020-01-24,2,Jackson Township Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
26434,2020-01-24,51,Northwest Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
19945,2020-01-24,199,Lexington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
6776,2020-01-24,14,Carmel Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
33285,2020-01-24,20,Rogers Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
22971,2020-01-24,213,Mesa Fire and Medical Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
27742,2020-01-24,117,Ontario Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
5045,2020-01-24,215,Boston Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
30575,2020-01-24,9,Plainfield Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
28724,2020-01-24,180,Orlando Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
13123,2020-01-24,23,Delaware Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
2999,2020-01-24,37,Asheville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
37262,2020-01-24,4,Southern Platte Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
38308,2020-01-24,160,St Lucie County Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
25745,2020-01-24,14,Noblesville Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
7193,2020-01-24,45,Cedar Rapids Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
25053,2020-01-24,88,Newport News Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
44049,2020-01-24,54,West Palm Beach Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
33979,2020-01-24,298,Sacramento Metropolitan Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
3660,2020-01-24,23,Beavercreek Township Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17794,2020-01-24,35,Jackson County Fire District 3,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
6098,2020-01-24,59,Cape Coral Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
40661,2020-01-24,23,Torrington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17044,2020-01-24,71,Hall County Fire Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
1047,2020-01-24,255,Albuquerque Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
43358,2020-01-24,113,West Metro Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
32485,2020-01-24,9,Rincon Valley Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
41103,2020-01-24,22,Town of Manchester Fire-Rescue-EMS Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
31957,2020-01-24,144,Richmond Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
37952,2020-01-24,8,St Louis Park Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
20638,2020-01-24,1132,Los Angeles County Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
356,2020-01-24,21,Adams County Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
19060,2020-01-24,39,Jersey City Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
22280,2020-01-24,381,Memphis Division of Fire Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
39350,2020-01-24,109,The Villages Public Safety Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
40019,2020-01-24,5,Toms River Fire District 1,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
21324,2020-01-24,74,Loudoun County Fire Rescue and EMS,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
2431,2020-01-24,235,Anne Arundel County Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
13741,2020-01-24,61,Delray Beach Fire-Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
31265,2020-01-24,82,Richland Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
11473,2020-01-24,574,Columbus Division of Fire,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
23665,2020-01-24,779,Miami-Dade Fire Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
4351,2020-01-24,40,Bellevue Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
36571,2020-01-24,24,South Adams County Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
42467,2020-01-24,603,Washington DC Fire & EMS Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
27045,2020-01-24,27,Olathe Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
41798,2020-01-24,264,Tucson Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
14373,2020-01-24,29,East Pierce Fire and Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17795,2020-01-25,23,Jackson County Fire District 3,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
44050,2020-01-25,84,West Palm Beach Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
39351,2020-01-25,72,The Villages Public Safety Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
40020,2020-01-25,2,Toms River Fire District 1,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
43359,2020-01-25,90,West Metro Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
11474,2020-01-25,496,Columbus Division of Fire,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
19061,2020-01-25,47,Jersey City Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
1048,2020-01-25,233,Albuquerque Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
2432,2020-01-25,243,Anne Arundel County Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
14374,2020-01-25,28,East Pierce Fire and Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
3661,2020-01-25,13,Beavercreek Township Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
7814,2020-01-25,2,Cicero Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
42810,2020-01-25,2,Wayne Township Volunteer Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
20639,2020-01-25,1077,Los Angeles County Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
25746,2020-01-25,14,Noblesville Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
6099,2020-01-25,55,Cape Coral Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
7194,2020-01-25,33,Cedar Rapids Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
10656,2020-01-25,5,City of Westfield Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
33286,2020-01-25,22,Rogers Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
27046,2020-01-25,31,Olathe Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
9463,2020-01-25,38,City of Roseville Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
12150,2020-01-25,23,Coral Gables Fire and Rescue Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
6777,2020-01-25,9,Carmel Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
31958,2020-01-25,105,Richmond Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
41104,2020-01-25,20,Town of Manchester Fire-Rescue-EMS Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
21325,2020-01-25,80,Loudoun County Fire Rescue and EMS,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
17045,2020-01-25,87,Hall County Fire Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
32486,2020-01-25,7,Rincon Valley Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
25054,2020-01-25,90,Newport News Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
40662,2020-01-25,23,Torrington Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
22281,2020-01-25,316,Memphis Division of Fire Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
37953,2020-01-25,17,St Louis Park Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
37263,2020-01-25,5,Southern Platte Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
13742,2020-01-25,42,Delray Beach Fire-Rescue Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
16349,2020-01-25,34,Golder Ranch Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
4352,2020-01-25,37,Bellevue Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
15665,2020-01-25,16,Fishers Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
38309,2020-01-25,145,St Lucie County Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
33980,2020-01-25,278,Sacramento Metropolitan Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
1739,2020-01-25,39,Alexandria Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
10148,2020-01-25,126,City of Saint Paul Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
41799,2020-01-25,202,Tucson Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
26435,2020-01-25,42,Northwest Fire District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
23666,2020-01-25,720,Miami-Dade Fire Rescue Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
31266,2020-01-25,71,Richland Fire and Emergency Services,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
30576,2020-01-25,6,Plainfield Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
19946,2020-01-25,151,Lexington Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
18423,2020-01-25,1,Jackson Township Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
28725,2020-01-25,137,Orlando Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
36572,2020-01-25,25,South Adams County Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
357,2020-01-25,19,Adams County Fire Protection District,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
35176,2020-01-25,1,Sheridan Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
24358,2020-01-25,26,New Rochelle Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
27743,2020-01-25,67,Ontario Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
5739,2020-01-25,140,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
29738,2020-01-25,71,Pasco Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
22972,2020-01-25,205,Mesa Fire and Medical Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
34670,2020-01-25,452,San Francisco Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
42468,2020-01-25,525,Washington DC Fire & EMS Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
13124,2020-01-25,17,Delaware Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
5046,2020-01-25,221,Boston Fire Department,2020,January,Saturday,0,1,0,0,0,0,0,1,0,0
37264,2020-01-26,5,Southern Platte Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
13743,2020-01-26,41,Delray Beach Fire-Rescue Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
37954,2020-01-26,11,St Louis Park Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
16350,2020-01-26,28,Golder Ranch Fire District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
27744,2020-01-26,64,Ontario Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
3000,2020-01-26,46,Asheville Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
29739,2020-01-26,93,Pasco Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
6100,2020-01-26,55,Cape Coral Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
40663,2020-01-26,19,Torrington Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
23667,2020-01-26,715,Miami-Dade Fire Rescue Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
358,2020-01-26,26,Adams County Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
25055,2020-01-26,94,Newport News Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
10657,2020-01-26,11,City of Westfield Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
11475,2020-01-26,480,Columbus Division of Fire,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
27047,2020-01-26,36,Olathe Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
42469,2020-01-26,542,Washington DC Fire & EMS Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
33287,2020-01-26,31,Rogers Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
35177,2020-01-26,1,Sheridan Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
9464,2020-01-26,35,City of Roseville Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
22973,2020-01-26,184,Mesa Fire and Medical Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
6778,2020-01-26,17,Carmel Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
31959,2020-01-26,83,Richmond Fire and Emergency Services,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
13125,2020-01-26,24,Delaware Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
12151,2020-01-26,20,Coral Gables Fire and Rescue Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
21326,2020-01-26,65,Loudoun County Fire Rescue and EMS,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
41105,2020-01-26,19,Town of Manchester Fire-Rescue-EMS Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
5740,2020-01-26,177,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
17046,2020-01-26,57,Hall County Fire Services,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
19947,2020-01-26,131,Lexington Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
26436,2020-01-26,36,Northwest Fire District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
41800,2020-01-26,241,Tucson Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
4353,2020-01-26,41,Bellevue Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
7195,2020-01-26,36,Cedar Rapids Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
39352,2020-01-26,74,The Villages Public Safety Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
5047,2020-01-26,191,Boston Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
34671,2020-01-26,416,San Francisco Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
40021,2020-01-26,3,Toms River Fire District 1,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
31267,2020-01-26,93,Richland Fire and Emergency Services,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
17796,2020-01-26,20,Jackson County Fire District 3,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
15017,2020-01-26,2,Fairmount Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
19062,2020-01-26,34,Jersey City Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
1049,2020-01-26,252,Albuquerque Fire Rescue,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
10149,2020-01-26,113,City of Saint Paul Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
3662,2020-01-26,10,Beavercreek Township Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
7815,2020-01-26,1,Cicero Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
14375,2020-01-26,25,East Pierce Fire and Rescue,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
24359,2020-01-26,24,New Rochelle Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
2433,2020-01-26,224,Anne Arundel County Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
1740,2020-01-26,57,Alexandria Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
28726,2020-01-26,148,Orlando Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
44051,2020-01-26,57,West Palm Beach Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
20640,2020-01-26,1029,Los Angeles County Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
43360,2020-01-26,103,West Metro Fire Rescue,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
38310,2020-01-26,134,St Lucie County Fire District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
30577,2020-01-26,15,Plainfield Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
22282,2020-01-26,337,Memphis Division of Fire Services,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
35735,2020-01-26,4,Simsbury Volunteer Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
33981,2020-01-26,243,Sacramento Metropolitan Fire District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
42811,2020-01-26,2,Wayne Township Volunteer Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
36573,2020-01-26,19,South Adams County Fire Protection District,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
25747,2020-01-26,15,Noblesville Fire Department,2020,January,Sunday,0,0,1,0,0,0,0,1,0,0
44052,2020-01-27,82,West Palm Beach Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
36574,2020-01-27,22,South Adams County Fire Protection District,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
42812,2020-01-27,3,Wayne Township Volunteer Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
3001,2020-01-27,36,Asheville Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
3663,2020-01-27,16,Beavercreek Township Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
24360,2020-01-27,37,New Rochelle Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
29740,2020-01-27,88,Pasco Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
41801,2020-01-27,266,Tucson Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
23668,2020-01-27,763,Miami-Dade Fire Rescue Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
11476,2020-01-27,539,Columbus Division of Fire,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
5048,2020-01-27,189,Boston Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
6779,2020-01-27,19,Carmel Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
28727,2020-01-27,153,Orlando Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
9465,2020-01-27,53,City of Roseville Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
17797,2020-01-27,18,Jackson County Fire District 3,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
37265,2020-01-27,6,Southern Platte Fire Protection District,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
41106,2020-01-27,23,Town of Manchester Fire-Rescue-EMS Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
19948,2020-01-27,147,Lexington Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
7196,2020-01-27,40,Cedar Rapids Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
32487,2020-01-27,3,Rincon Valley Fire District,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
25056,2020-01-27,93,Newport News Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
35736,2020-01-27,2,Simsbury Volunteer Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
19063,2020-01-27,44,Jersey City Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
22283,2020-01-27,382,Memphis Division of Fire Services,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
18424,2020-01-27,2,Jackson Township Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
27048,2020-01-27,39,Olathe Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
37955,2020-01-27,9,St Louis Park Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
16351,2020-01-27,39,Golder Ranch Fire District,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
13126,2020-01-27,18,Delaware Fire Department,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
15666,2020-01-27,12,Fishers Fire and Emergency Services,2020,January,Monday,0,0,0,0,0,0,0,1,0,0
