,intercept,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,March,April,May
Newport News Fire Department,4.504794438292559,0.006354121169674154,-0.04607432822082034,-0.010542248267371922,0.027934422158834765,-0.06891447663367864,-0.12943785156950818,0.005183842529212126,0.033181339436721656,0.041767368048725495
Noblesville Fire Department,2.7403439685856164,-0.07766574024249726,-0.0073903730797192846,0.03688690186667197,0.013469947137070299,-0.09401075311833205,-0.06617485151471987,0.006235600349876208,-0.008630964410374654,0.08021335167480975
Northwest Fire District,3.8550526441777384,-0.007774829937091624,0.027646374184775717,-0.08494302489691177,-0.00757519372679208,-0.0918720238857251,-0.12531690438622076,-0.008624134289668652,0.04304142433803185,0.03242924734307565
Olathe Fire Department,3.2032945938891246,0.036749127563103154,0.0060675423379802605,-0.006754123343322381,0.022865841800093392,-0.04063501126714542,-0.046231304502304414,-0.009052718400274475,-0.3801933554343536,0.3687679924871441
Ontario Fire Department,4.836127389793588,-0.01716562492447361,0.01275984265514573,0.028129958058575426,0.03850883473800503,-0.25484039369176503,-0.37085582345354684,-0.16773100640944996,-0.3255004314430614,-0.3650092892040446
Orange County Fire Rescue Department,6.281419367351962,0.013123873592343429,0.03797944379546734,0.04463275800720441,0.03613969550011177,-0.04026664656907776,-0.10248075953006151,-0.11635762749759253,-0.21575052922806384,-0.2121612251194007
Orlando Fire Department,5.101492077981626,-0.06800028038704553,-0.041417539017570275,0.019659057382280423,-0.024366358061584315,-0.01744333136655459,-0.054584501373658424,0.006863683339393902,-0.012280325008713658,0.03343417051480765
Pasco Fire Department,4.435500656168727,0.017340476318012214,-0.022649581959168677,-0.021110182148536827,-0.007638028853016704,-0.04029541232604718,-0.13868671856144418,-0.02032428537527767,-0.05910016233450638,0.007618498543378108
Plainfield Fire Protection District,2.6666884428720894,-0.05851879790897304,-0.13507248792508356,0.07514491378222986,0.0031511399781995637,-0.08757829144157268,-0.0930754289859055,-0.0795583078470319,-0.07443177583709996,-0.08117783507641928
Richland Fire and Emergency Services,4.435345427794112,0.017429897077289692,-0.023193577047122126,-0.021049766420536995,-0.008644433976843946,-0.040840322494224424,-0.13911426488703496,-0.019949427906036613,-0.05874723392671457,0.008154293776145613
Richmond Fire and Emergency Services,4.701074823663785,0.007211909672268231,-0.04657753914811626,0.002498010746631161,0.051120385734983426,-0.021582406393386946,-0.0652756026956299,-0.00957399933338598,0.0450993976067699,0.08106175454356536
Riviera Beach Fire Rescue,3.1376949017838407,0.0027688929460445797,0.07414133052333542,-0.11920020762426145,-0.012147664694259363,0.019642141866885506,0.028037462459473837,-0.09110139551768602,-0.0528577399685033,-0.011527085005844616
Rogers Fire Department,2.9308391937151734,0.02110804878600394,-0.014884170916967556,0.05203996875282438,0.1604285381218006,-0.11302307351141115,-0.09361376117895051,0.1198465384262437,0.04944519756787075,0.06339710970291275
Sacramento Metropolitan Fire District,5.6010174342235235,-0.002040520281521378,-0.0030188705962689434,0.03309426885913859,0.00767796359800126,-0.08603364645122716,-0.1269551048228564,0.01721830274967438,-0.015058619424170097,-0.010941865284924421
San Francisco Fire Department,6.03325290382295,-0.0077725664094558024,0.0230305072669228,0.021817211328226165,0.05371181700604882,0.01189553167931165,-0.026475229997582204,-0.005032841783241437,-0.02701222185659037,-0.04690307069581388
Sheridan Fire Department,0.8221123634602416,-0.06003001203872285,-0.06292038695195963,-0.022411874233732906,-0.003209848295097098,0.04246339368238686,-0.09230862694488193,-0.0187617956521582,-0.03318649289348658,-0.07787381261799418
Simsbury Volunteer Fire Department,0.9542675401235451,-0.017378609004810107,-0.043383885088118856,-0.14379046623419198,0.04884202586128765,-0.13986068624776468,-0.15888271230006515,-0.17723882233630578,-0.0389368902124036,-0.04340778496426731
South Adams County Fire Protection District,3.198450216896142,0.015007953557684386,-0.06298081347062624,-0.042794570136649834,0.0713009922961615,-0.04108397261651607,-0.09828642843929625,0.03487987187250693,-0.0445766843294914,-0.04729556532153665
Southern Platte Fire Protection District,1.6802442521740635,-0.10176457541922965,0.032211002107069335,0.014249904639514937,-0.013541213031546104,-0.1480314756383458,-0.026657440144087014,-0.002174042852865206,0.1003767339223432,0.08540109507130353
St Louis Park Fire Department,2.8325459142268192,0.04968735825838624,-0.04034156616903132,-0.02481186865140816,-0.08134111556872582,-0.05931282064073547,-0.07671371625819055,-0.11584054930965028,-0.17228595376166586,-0.15511763664037753
Starwest Tech RMZ,4.117796166475128,-0.07736212587166263,-0.03496511142097432,-0.04322118335995742,-0.0430958162651627,-0.11228542230662958,-0.14523453772187994,0.010221126555765616,-0.0027063921421283384,-0.07098365560040183
The Villages Public Safety Department,4.532591512533331,-0.005968722726316827,0.020739826835156752,-0.035587171756542794,0.05054640280060504,-0.28278920717500095,-0.3078194175798959,-0.00509725994706655,-0.006604874433460162,-0.06833769247176952
Toms River Fire District 1,1.1729033225790424,-0.08049057682853414,-0.0186574450695802,-0.05868365205979983,0.15558032480812037,-0.07472401824977216,-0.18144707924855724,-0.027485145207210317,-0.0088261574244276,-0.015056609768609088
Torrington Fire Department,1.8787036686805494,-0.07588580895379683,-0.008165760923944259,-0.012941163080130562,-0.05041439488557926,-0.07297870795165072,-0.07856182211958652,-0.039521763280311976,-0.06070531394849491,0.04642024596281746
Tucson Fire Department,5.497134568552173,0.01751712384192326,0.0032847712490263357,0.019166628108019695,0.03915612641274834,-0.032092199423693346,-0.1058210211849986,0.013535230290426286,0.03454313924724025,0.04059602090286653
Washington DC Fire & EMS Department,6.404697250416838,0.006956825311190284,-0.02473124780158781,-0.004375038526480355,0.06040621417393238,0.02196473079541835,-0.06891526023996429,-0.004972951462041006,-0.008797652854492312,0.05174067410499437
Wayne Township Volunteer Fire Department,0.5320194073558678,0.12271160407813897,-0.017034312114041827,-0.031957431477963365,-0.037072435950590024,-0.0956242121002984,-0.1514781200686323,-5.0435015857561135e-05,-0.01531905403506057,0.01409913445242572
West Metro Fire Rescue,4.687197598531496,0.05411161703823253,0.04951044793766024,0.019933755387733208,0.019272415007162574,-0.052518819308155114,-0.15861584720907565,-0.025399701638259903,-0.035615786157996925,0.0009038216813867386
West Palm Beach Fire Department,4.385695227200769,-0.020300501869766424,-0.05689633716042241,-0.0708135111587446,-0.013302244247672741,-0.059585363023676424,-0.017295595668219085,0.005232881404971302,-0.08097008868457607,0.0067049099496469195
