department_name,date,retail/recreation_avg,grocery/pharmacy_avg,parks_avg,workplace_avg,residential_avg,level_1,avg_change_baseline_incidents
Alexandria Fire Department,2020-02-24,-0.5714285714285714,1.1428571428571428,29.285714285714285,2.857142857142857,-0.2857142857142857,1771,0.327212665020582
Alexandria Fire Department,2020-03-02,1.0,2.7142857142857144,4.857142857142857,4.142857142857143,-0.5714285714285714,1778,6.317329584597509
Alexandria Fire Department,2020-03-09,5.0,10.285714285714286,46.857142857142854,3.2857142857142856,-0.14285714285714285,1785,7.544814360575404
Alexandria Fire Department,2020-03-16,-5.142857142857143,25.142857142857142,31.428571428571427,-7.285714285714286,5.285714285714286,1792,6.968244637127205
Alexandria Fire Department,2020-03-23,-35.142857142857146,4.571428571428571,44.285714285714285,-45.57142857142857,20.571428571428573,1799,-9.42428653975553
Alexandria Fire Department,2020-03-30,-47.42857142857143,-11.0,36.285714285714285,-55.714285714285715,25.0,1806,-18.188578332470804
Alexandria Fire Department,2020-04-06,-52.0,-17.714285714285715,16.428571428571427,-59.714285714285715,27.142857142857142,1813,-13.24557173498427
Alexandria Fire Department,2020-04-13,-54.714285714285715,-22.428571428571427,23.0,-61.714285714285715,28.0,1820,-22.08064733664848
Alexandria Fire Department,2020-04-20,-53.0,-20.714285714285715,18.571428571428573,-60.285714285714285,27.285714285714285,1827,-23.90651916197068
Alexandria Fire Department,2020-04-27,-51.857142857142854,-21.0,17.571428571428573,-60.0,27.0,1834,-22.5008645086105
Alexandria Fire Department,2020-05-04,-47.142857142857146,-19.142857142857142,43.857142857142854,-58.285714285714285,25.0,1841,-21.903598443864304
Alexandria Fire Department,2020-05-11,-45.285714285714285,-16.857142857142858,30.857142857142858,-55.857142857142854,24.857142857142858,1848,-14.215644770880882
Alexandria Fire Department,2020-05-18,-44.57142857142857,-18.0,78.14285714285714,-54.714285714285715,23.857142857142858,1855,-13.729774221968134
Anne Arundel County Fire Department,2020-02-17,7.0,-1.0,21.333333333333332,-12.666666666666666,2.0,2458,1.011230059657335
Anne Arundel County Fire Department,2020-02-24,2.142857142857143,-0.5714285714285714,21.142857142857142,2.2857142857142856,-0.42857142857142855,2465,0.4365180127696254
Anne Arundel County Fire Department,2020-03-02,4.285714285714286,0.42857142857142855,11.857142857142858,2.2857142857142856,-0.42857142857142855,2472,-0.24041211237383847
Anne Arundel County Fire Department,2020-03-09,5.285714285714286,3.4285714285714284,48.142857142857146,2.2857142857142856,-0.7142857142857143,2479,0.9632442248608092
Anne Arundel County Fire Department,2020-03-16,-1.4285714285714286,8.857142857142858,34.42857142857143,-7.142857142857143,3.142857142857143,2486,-5.189976595097798
Anne Arundel County Fire Department,2020-03-23,-33.0,-8.714285714285714,32.142857142857146,-37.42857142857143,15.714285714285714,2492,-14.788363756428847
Anne Arundel County Fire Department,2020-03-30,-43.0,-22.428571428571427,22.0,-47.857142857142854,20.428571428571427,2498,-17.805742704829612
